date,target,item_id
9/18/2014,32010,Close
9/19/2014,31990,Close
9/20/2014,31780,Close
9/21/2014,31670,Close
9/23/2014,31880,Close
9/24/2014,31940,Close
9/25/2014,32000,Close
9/26/2014,32000,Close
9/27/2014,32480,Close
9/28/2014,32640,Close
9/29/2014,32350,Close
9/30/2014,32410,Close
10/1/2014,32430,Close
10/2/2014,32400,Close
10/3/2014,32430,Close
10/4/2014,32410,Close
10/5/2014,32310,Close
10/6/2014,32310,Close
10/7/2014,32390,Close
10/8/2014,32370,Close
10/9/2014,32480,Close
10/10/2014,32500,Close
10/11/2014,32430,Close
10/12/2014,32500,Close
10/13/2014,32520,Close
10/14/2014,32530,Close
10/15/2014,32440,Close
10/16/2014,32500,Close
10/17/2014,32460,Close
10/18/2014,32380,Close
10/19/2014,32340,Close
10/20/2014,32190,Close
10/21/2014,32280,Close
10/22/2014,32220,Close
10/23/2014,32280,Close
10/24/2014,32270,Close
10/25/2014,32100,Close
10/26/2014,32170,Close
10/27/2014,32360,Close
10/28/2014,32450,Close
10/29/2014,32390,Close
10/30/2014,32450,Close
10/31/2014,32520,Close
11/1/2014,32460,Close
11/2/2014,32530,Close
11/5/2014,32550,Close
11/6/2014,32500,Close
11/7/2014,32510,Close
11/8/2014,32570,Close
11/9/2014,32480,Close
11/10/2014,32540,Close
11/11/2014,32580,Close
11/12/2014,32580,Close
11/13/2014,32560,Close
11/14/2014,32550,Close
11/15/2014,32440,Close
11/16/2014,32470,Close
11/17/2014,32460,Close
11/18/2014,32560,Close
11/19/2014,32500,Close
11/20/2014,32530,Close
11/21/2014,32490,Close
11/22/2014,32370,Close
11/23/2014,32400,Close
11/24/2014,32560,Close
11/25/2014,32620,Close
11/26/2014,32900,Close
11/27/2014,33190,Close
11/28/2014,33250,Close
11/29/2014,34210,Close
11/30/2014,34610,Close
12/1/2014,33670,Close
12/2/2014,33580,Close
12/3/2014,33670,Close
12/4/2014,33700,Close
12/5/2014,33680,Close
12/6/2014,33430,Close
12/7/2014,34160,Close
12/8/2014,34250,Close
12/9/2014,34010,Close
